TEMOA,ST_MILES,tnc_TOT (k),TMc_e (M)
CA,7466.929392391798,387494.942,5138.955313522424
CEN,27995.04699162596,379120.385,5917.974646187809
MID_AT,23980.595916631017,199710.734,1677.0374858886137
NE,10410.913989179659,23285.166,268.6318309260811
NW,17319.953847665125,37830.081,928.2656199799586
N_CEN,41763.01274340323,437953.851,4239.2165277235
SE,30567.21663932705,1129653.188,14877.122072100105
SW,12135.797056047617,405239.759,9517.944415947115
TX,13019.129695454261,430226.043,7364.219526641237
