zOrig,zDest,FAF_O,FAF_D,netNodeO,netNodeD,FRA_O,FRA_D,fTons (K)
305,211,540,379,11305,13126,448728,472346,26.115644
172,20,300,61,1538,1012,331012,321736,26.112377
173,20,300,61,1539,1012,331014,321736,26.112377
214,240,380,422,2818,12321,348747,460849,26.088763
246,209,429,379,13184,11686,473214,453036,26.088558
102,154,182,261,9008,10449,423824,440834,26.083765
97,155,179,261,6947,10506,403496,441355,26.081394
154,97,261,179,10449,6947,440834,403496,26.076442
80,226,139,399,10351,10155,439695,437809,26.07618
214,56,380,123,2818,11637,348747,452361,26.076064
274,225,486,399,4351,10115,370166,437419,26.065554
87,26,160,64,1717,342,333324,308387,26.063515
139,180,223,319,6546,3050,397786,353045,26.052107
17,274,50,486,5577,4351,385939,370166,26.050756
47,57,101,123,13959,11643,483026,452442,26.045295
296,293,513,511,13384,13305,475723,474701,26.040558
259,30,460,69,3021,724,352470,315673,26.039574
4,81,12,139,7596,11155,410839,447563,26.021594
47,249,101,429,13959,13549,483026,478104,26.021323
216,6,380,19,3565,9020,359698,423914,26.006418
6,52,19,122,9020,12021,423914,456469,26.001353
192,296,341,513,14507,13384,489881,475723,25.999322
280,21,489,61,2832,1247,349115,325474,25.987038
311,116,559,190,6842,5790,402197,388612,25.982859
313,175,559,300,7321,1953,408111,337188,25.974493
199,244,362,423,12847,14002,468821,483750,25.972391
193,133,342,219,13991,8959,483598,423091,25.971586
211,226,379,399,13126,10155,472346,437809,25.96615
316,3,560,11,1986,9115,337589,424835,25.962326
317,3,560,11,1986,9115,337589,424835,25.962326
274,253,486,451,4351,12364,370166,461299,25.95019
155,142,261,229,10506,5681,441355,386981,25.945262
318,124,560,209,2216,3161,340080,354335,25.940943
306,92,540,172,11539,6491,451117,397178,25.934656
258,264,460,479,2483,9408,344021,428302,25.927574
192,257,341,459,14507,11787,489881,453864,25.918034
270,25,484,63,3703,1326,361928,326398,25.899175
108,69,189,131,8805,9598,420535,430342,25.887288
82,56,139,123,11574,11637,451518,452361,25.885421
305,247,540,429,11305,13388,448728,475739,25.884695
26,277,64,488,342,2982,308387,351899,25.875746
261,1,471,11,6400,8564,396179,418177,25.872993
155,17,261,50,10506,5577,441355,385939,25.843104
211,203,379,369,13126,13794,472346,480932,25.835994
283,171,491,300,1660,1470,332808,329739,25.832973
134,63,219,129,9709,9809,432001,433465,25.823489
213,271,380,484,2770,3800,347721,363320,25.814456
214,269,380,484,2818,3407,348747,357660,25.809559
314,197,559,350,7600,2416,410915,342876,25.80319
4,1,12,11,7596,8564,410839,418177,25.789619
85,269,160,484,1367,3407,327259,357660,25.785968
112,147,190,241,4104,13629,366886,478861,25.781927
238,90,421,171,14110,7519,484667,410045,25.779295
55,43,122,91,12270,14758,460118,492422,25.771668
178,98,319,179,2441,6996,343048,404080,25.766861
168,214,292,380,6163,2818,394071,348747,25.763676
139,76,223,139,6546,9533,397786,429596,25.747238
116,260,190,460,5790,3711,388612,362062,25.735425
137,76,222,139,5190,9533,381551,429596,25.721732
98,163,179,280,6996,6275,404080,395467,25.717382
98,164,179,280,6996,6887,404080,402884,25.717382
213,257,380,459,2770,11787,347721,453864,25.717096
26,200,64,363,342,14568,308387,490541,25.714079
162,10,279,42,5654,1832,386600,335597,25.708536
213,276,380,487,2770,2897,347721,350299,25.697704
107,72,189,131,8437,9885,416847,434713,25.690419
81,90,139,171,11155,7519,447563,410045,25.690236
138,74,223,132,6300,11609,395671,451972,25.671235
315,37,560,81,1925,2325,336667,341046,25.666263
112,138,190,223,4104,6300,366886,395671,25.664627
55,276,122,487,12270,2897,460118,350299,25.663931
263,98,473,179,9977,6996,435955,404080,25.663369
206,209,372,379,12501,11686,463889,453036,25.662357
271,199,484,362,3800,12847,363320,468821,25.654306
274,223,486,394,4351,9855,370166,434289,25.637359
274,224,486,394,4351,10039,370166,436452,25.637359
162,265,279,481,5654,3221,386600,355232,25.617038
278,26,489,64,2579,342,345412,308387,25.606406
177,112,311,190,4065,4104,366354,366886,25.593283
71,272,131,485,9748,2097,432669,338965,25.57603
209,220,379,393,11686,10452,453036,440877,25.57097
313,113,559,190,7321,5081,408111,379962,25.555462
179,95,319,179,3031,6716,352773,400440,25.551306
215,298,380,519,3491,13037,358711,471386,25.544766
184,203,329,369,799,13794,316845,480932,25.534611
215,253,380,451,3491,12364,358711,461299,25.52978
208,60,373,124,12931,10921,469919,445695,25.528785
263,155,473,261,9977,10506,435955,441355,25.525599
31,108,69,189,859,8805,318889,420535,25.519168
203,244,369,423,13794,14002,480932,483750,25.518048
121,276,202,487,3402,2897,357591,350299,25.516655
136,140,221,229,5918,5509,390084,385093,25.503352
273,280,486,489,4124,2832,367103,349115,25.499572
20,4,61,12,1012,7596,321736,410839,25.497433
115,212,190,380,5760,2420,388180,342898,25.49621
134,276,219,487,9709,2897,432001,350299,25.486192
213,112,380,190,2770,4104,347721,366886,25.474724
204,214,371,380,11860,2818,454726,348747,25.469197
279,309,489,551,2693,7675,346798,411642,25.46613
5,78,19,139,8901,9898,422118,434942,25.462629
147,27,241,64,13629,435,478861,310556,25.45855
47,152,101,251,13959,14856,483026,493733,25.458523
47,151,101,251,13959,14845,483026,493469,25.458523
134,61,219,129,9709,8533,432001,417974,25.453259
179,27,319,64,3031,435,352773,310556,25.439907
267,309,482,551,4936,7675,378449,411642,25.435993
266,309,482,551,4873,7675,377794,411642,25.435993
17,271,50,484,5577,3800,385939,363320,25.423131
277,214,488,380,2982,2818,351899,348747,25.423028
165,279,291,489,4689,2693,375289,346798,25.416446
166,279,291,489,4704,2693,375681,346798,25.416446
178,270,319,484,2441,3703,343048,361928,25.414318
136,297,221,519,5918,12592,390084,465890,25.393272
80,134,139,219,10351,9709,439695,432001,25.371529
240,85,422,160,12321,1367,460849,327259,25.368162
75,80,132,139,11728,10351,453331,439695,25.361412
79,298,139,519,10137,13037,437620,471386,25.339986
282,248,489,429,3109,13535,353672,477840,25.3392
214,96,380,179,2818,6723,348747,400579,25.33531
138,168,223,292,6300,6163,395671,394071,25.335005
63,75,129,132,9809,11728,433465,453331,25.333564
40,131,89,219,2260,7217,340498,406767,25.332919
191,234,341,411,14444,184,489091,304311,25.331123
312,155,559,261,7218,10506,406783,441355,25.304743
318,91,560,171,2216,7983,340080,414089,25.300427
205,211,372,379,12241,13126,459525,472346,25.283787
97,154,179,261,6947,10449,403496,440834,25.280154
203,246,369,429,13794,13184,480932,473214,25.276732
214,296,380,513,2818,13384,348747,475723,25.271152
203,51,369,121,13794,11545,480932,451169,25.270626
187,210,331,379,14971,12797,495207,468246,25.269022
39,134,89,219,2043,9709,338237,432001,25.265855
132,293,219,511,8389,13305,416611,474701,25.262573
303,284,539,491,1252,1699,325529,333209,25.250199
94,134,179,219,6045,9709,392193,432001,25.248994
171,159,300,269,1470,9334,329739,427423,25.24418
171,158,300,269,1470,8646,329739,418960,25.24418
171,160,300,269,1470,10026,329739,436366,25.24418
282,292,489,511,3109,13251,353672,474019,25.233464
18,155,50,261,6039,10506,392121,441355,25.230004
102,105,182,183,9008,9470,423824,428994,25.224153
239,204,421,371,14191,11860,485714,454726,25.223064
117,189,190,341,6061,14369,392352,487996,25.22189
299,203,531,369,237,13794,305935,480932,25.220279
231,31,409,69,3036,859,352861,318889,25.215232
263,67,473,129,9977,11362,435955,449306,25.212264
235,11,419,49,48,1467,301480,329710,25.209934
155,279,261,489,10506,2693,441355,346798,25.193711
235,23,419,62,48,593,301480,312988,25.173684
204,225,371,399,11860,10115,454726,437419,25.171618
5,1,19,11,8901,8564,422118,418177,25.160805
77,226,139,399,9539,10155,429661,437809,25.153338
232,181,409,319,3195,3673,354831,361539,25.152775
275,136,486,221,4484,5918,372551,390084,25.151015
154,142,261,229,10449,5681,440834,386981,25.148204
8,54,19,122,9382,12175,428070,458556,25.138372
214,263,380,473,2818,9977,348747,435955,25.133726
127,103,211,182,9685,9073,431751,424523,25.126243
220,282,393,489,10452,3109,440877,353672,25.113442
142,265,229,481,5681,3221,386981,355232,25.108915
284,20,491,61,1699,1012,333209,321736,25.103329
80,74,139,132,10351,11609,439695,451972,25.096372
280,277,489,488,2832,2982,349115,351899,25.093013
118,16,201,50,4476,5376,372451,383370,25.087886
212,312,380,559,2420,7218,342898,406783,25.080802
32,26,69,64,865,342,319096,308387,25.076645
63,161,129,271,9809,5230,433465,381938,25.052733
258,89,460,171,2483,7381,344021,408834,25.052516
154,17,261,50,10449,5577,440834,385939,25.049184
214,17,380,50,2818,5577,348747,385939,25.042334
267,120,482,202,4936,3383,378449,357396,25.042209
266,120,482,202,4873,3383,377794,357396,25.042209
319,26,560,64,2353,342,341490,308387,25.041599
211,204,379,371,13126,11860,472346,454726,25.036185
45,88,92,171,14740,7365,492243,408641,25.034452
171,12,300,49,1470,1591,329739,332121,25.018586
114,198,190,361,5531,14646,385332,491182,25.017322
155,300,261,531,10506,300,441355,307557,25.014104
94,204,179,371,6045,11860,392193,454726,25.009527
17,147,50,241,5577,13629,385939,478861,25.009303
319,175,560,300,2353,1953,341490,337188,25.008439
20,54,61,122,1012,12175,321736,458556,25.003582
139,74,223,132,6546,11609,397786,451972,25.002344
199,246,362,429,12847,13184,468821,473214,24.999459
214,266,380,482,2818,4873,348747,377794,24.997949
214,267,380,482,2818,4936,348747,378449,24.997949
112,139,190,223,4104,6546,366886,397786,24.995908
102,209,182,379,9008,11686,423824,453036,24.989504
112,10,190,42,4104,1832,366886,335597,24.988196
61,75,129,132,8533,11728,417974,453331,24.970358
272,279,485,489,2097,2693,338965,346798,24.96294
212,5,380,19,2420,8901,342898,422118,24.955782
169,7,299,19,5137,9379,380766,428054,24.936035
214,55,380,122,2818,12270,348747,460118,24.934784
30,177,69,311,724,4065,315673,366354,24.926972
212,279,380,489,2420,2693,342898,346798,24.920431
274,168,486,292,4351,6163,370166,394071,24.918749
189,203,341,369,14369,13794,487996,480932,24.916593
136,79,221,139,5918,10137,390084,437620,24.908838
64,211,129,379,10822,13126,444840,472346,24.900919
214,141,380,229,2818,5644,348747,386552,24.894791
168,10,292,42,6163,1832,394071,335597,24.894714
113,15,190,50,5081,4870,379962,377775,24.889791
315,179,560,319,1925,3031,336667,352773,24.888993
129,199,212,362,9317,12847,427131,468821,24.886276
214,181,380,319,2818,3673,348747,361539,24.88131
168,169,292,299,6163,5137,394071,380766,24.862029
174,282,300,489,1805,3109,334895,353672,24.848851
147,169,241,299,13629,5137,478861,380766,24.841994
109,151,189,251,8937,14845,422911,493469,24.837931
109,152,189,251,8937,14856,422911,493733,24.837931
276,204,487,371,2897,11860,350299,454726,24.83272
42,33,89,81,2387,2244,342105,340385,24.823437
42,34,89,81,2387,2244,342105,340385,24.823437
141,215,229,380,5644,3491,386552,358711,24.807116
45,274,92,486,14740,4351,492243,370166,24.804586
170,212,300,380,1466,2420,329642,342898,24.795486
231,280,409,489,3036,2832,352861,349115,24.786825
294,47,512,101,13694,13959,479838,483026,24.771342
63,303,129,539,9809,1252,433465,325529,24.767938
17,215,50,380,5577,3491,385939,358711,24.765591
155,102,261,182,10506,9008,441355,423824,24.759066
277,199,488,362,2982,12847,351899,468821,24.755652
108,276,189,487,8805,2897,420535,350299,24.749054
263,154,473,261,9977,10449,435955,440834,24.741433
26,91,64,171,342,7983,308387,414089,24.738638
162,180,279,319,5654,3050,386600,353045,24.731026
316,6,560,19,1986,9020,337589,423914,24.720082
317,6,560,19,1986,9020,337589,423914,24.720082
279,113,489,190,2693,5081,346798,379962,24.700376
164,307,280,540,6887,12425,402884,462506,24.696519
163,307,280,540,6275,12425,395467,462506,24.696519
199,25,362,63,12847,1326,468821,326398,24.694963
61,161,129,271,8533,5230,417974,381938,24.693554
295,292,513,511,13030,13251,471347,474019,24.680541
98,51,179,121,6996,11545,404080,451169,24.679914
306,138,540,223,11539,6300,451117,395671,24.676555
139,168,223,292,6546,6163,397786,394071,24.674875
138,271,223,484,6300,3800,395671,363320,24.674361
218,20,392,61,11504,1012,450746,321736,24.658767
292,239,511,421,13251,14191,474019,485714,24.6565
232,319,409,560,3195,2353,354831,341490,24.653712
67,294,129,512,11362,13694,449306,479838,24.64563
131,208,219,373,7217,12931,406767,469919,24.639403
282,249,489,429,3109,13549,353672,478104,24.635002
311,117,559,190,6842,6061,402197,392352,24.634407
78,70,139,131,9898,9637,434942,431035,24.634285
219,224,392,394,11554,10039,451258,436452,24.602381
219,223,392,394,11554,9855,451258,434289,24.602381
63,210,129,379,9809,12797,433465,468246,24.602234
310,278,559,489,6756,2579,400985,345412,24.597519
276,168,487,292,2897,6163,350299,394071,24.597033
253,189,451,341,12364,14369,461299,487996,24.592614
110,76,189,139,9034,9533,424141,429596,24.588729
217,282,391,489,9692,3109,431812,353672,24.583709
97,3,179,11,6947,9115,403496,424835,24.58257
212,191,380,341,2420,14444,342898,489091,24.577306
244,203,423,369,14002,13794,483750,480932,24.577154
85,302,160,539,1367,869,327259,319146,24.568719
32,149,69,242,865,13644,319096,478955,24.55667
32,148,69,242,865,13254,319096,474045,24.55667
9,272,41,485,1613,2097,332280,338965,24.553742
85,315,160,560,1367,1925,327259,336667,24.548577
111,76,189,139,9173,9533,425481,429596,24.543429
214,95,380,179,2818,6716,348747,400440,24.542647
6,3,19,11,9020,9115,423914,424835,24.537992
264,71,479,131,9408,9748,428302,432669,24.5333
91,28,171,64,7983,645,414089,314028,24.532977
312,154,559,261,7218,10449,406783,440834,24.527362
20,9,61,41,1012,1613,321736,332280,24.517454
303,250,539,429,1252,13697,325529,479874,24.49196
279,138,489,223,2693,6300,346798,395671,24.490579
90,138,171,223,7519,6300,410045,395671,24.477252
77,134,139,219,9539,9709,429661,432001,24.473626
30,60,69,124,724,10921,315673,445695,24.473583
254,99,451,179,12383,7438,461503,409272,24.470411
75,77,132,139,11728,9539,453331,429661,24.463867
315,211,560,379,1925,13126,336667,472346,24.461697
134,150,219,249,9709,13163,432001,473010,24.456933
254,199,451,362,12383,12847,461503,468821,24.456032
18,154,50,261,6039,10449,392121,440834,24.454919
155,256,261,452,10506,11192,441355,447820,24.449047
274,157,486,262,4351,9293,370166,426819,24.444471
212,265,380,481,2420,3221,342898,355232,24.43421
172,312,300,559,1538,7218,331012,406783,24.423335
173,312,300,559,1539,7218,331014,406783,24.423335
154,279,261,489,10449,2693,440834,346798,24.419741
162,18,279,50,5654,6039,386600,392121,24.416425
61,303,129,539,8533,1252,417974,325529,24.412842
117,260,190,460,6061,3711,392352,362062,24.399814
161,75,271,132,5230,11728,381938,453331,24.394606
282,25,489,63,3109,1326,353672,326398,24.373907
20,252,61,441,1012,14888,321736,494262,24.367337
189,220,341,393,14369,10452,487996,440877,24.365199
52,51,122,121,12021,11545,456469,451169,24.362223
237,204,421,371,13836,11860,481458,454726,24.359491
137,211,222,379,5190,13126,381551,472346,24.350527
75,210,132,379,11728,12797,453331,468246,24.332576
116,311,190,559,5790,6842,388612,402197,24.33252
286,155,491,261,1785,10506,334454,441355,24.33144
71,200,131,363,9748,14568,432669,490541,24.33073
83,150,160,249,1325,13163,326338,473010,24.29297
247,242,429,422,13388,12573,475739,465636,24.285649
215,248,380,429,3491,13535,358711,477840,24.280049
13,278,49,489,1862,2579,335946,345412,24.279937
10,11,42,49,1832,1467,335597,329710,24.273767
282,225,489,399,3109,10115,353672,437419,24.272962
61,210,129,379,8533,12797,417974,468246,24.249514
154,300,261,531,10449,300,440834,307557,24.245652
34,42,81,89,2244,2387,340385,342105,24.243006
33,42,81,89,2244,2387,340385,342105,24.243006
216,157,380,262,3565,9293,359698,426819,24.235915
51,59,121,124,11545,10684,451169,443554,24.23449
114,191,190,341,5531,14444,385332,489091,24.233491
199,241,362,422,12847,12477,468821,463403,24.224702
226,199,399,362,10155,12847,437809,468821,24.218787
138,15,223,50,6300,4870,395671,377775,24.217758
77,74,139,132,9539,11609,429661,451972,24.208206
309,310,551,559,7675,6756,411642,400985,24.196132
174,26,300,64,1805,342,334895,308387,24.187126
174,91,300,171,1805,7983,334895,414089,24.182604
97,56,179,123,6947,11637,403496,452361,24.175443
257,231,459,409,11787,3036,453864,352861,24.174375
136,26,221,64,5918,342,390084,308387,24.15907
216,101,380,181,3565,8884,359698,421868,24.157404
310,126,559,209,6756,4174,400985,367777,24.156922
155,152,261,251,10506,14856,441355,493733,24.155363
155,151,261,251,10506,14845,441355,493469,24.155363
161,17,271,50,5230,5577,381938,385939,24.151877
189,45,341,92,14369,14740,487996,492243,24.138885
178,30,319,69,2441,724,343048,315673,24.131122
278,215,489,380,2579,3491,345412,358711,24.100076
245,210,429,379,12879,12797,469255,468246,24.095298
97,76,179,139,6947,9533,403496,429596,24.091923
261,253,471,451,6400,12364,396179,461299,24.079903
5,193,19,342,8901,13991,422118,483598,24.078868
16,91,50,171,5376,7983,383370,414089,24.068274
215,194,380,350,3491,2072,358711,338745,24.048576
189,169,341,299,14369,5137,487996,380766,24.042462
306,139,540,223,11539,6546,451117,397786,24.033581
114,216,190,380,5531,3565,385332,359698,24.033218
139,271,223,484,6546,3800,397786,363320,24.031444
318,236,560,419,2216,656,340080,314420,24.020924
20,226,61,399,1012,10155,321736,437809,24.011482
94,279,179,489,6045,2693,392193,346798,24.005165
154,102,261,182,10449,9008,440834,423824,23.998449
279,214,489,380,2693,2818,346798,348747,23.990278
318,238,560,421,2216,14110,340080,484667,23.989749
230,138,402,223,4008,6300,365635,395671,23.984933
300,56,531,123,300,11637,307557,452361,23.981393
91,127,171,211,7983,9685,414089,431751,23.977498
52,56,122,123,12021,11637,456469,452361,23.96158
138,147,223,241,6300,13629,395671,478861,23.961356
298,257,519,459,13037,11787,471386,453864,23.949024
116,194,190,350,5790,2072,388612,338745,23.943673
113,313,190,559,5081,7321,379962,408111,23.93227
147,92,241,172,13629,6491,478861,397178,23.910333
300,177,531,311,300,4065,307557,366354,23.903782
318,1,560,11,2216,8564,340080,418177,23.903412
213,70,380,131,2770,9637,347721,431035,23.90324
276,273,487,486,2897,4124,350299,367103,23.894586
278,266,489,482,2579,4873,345412,377794,23.876012
278,267,489,482,2579,4936,345412,378449,23.876012
89,226,171,399,7381,10155,408834,437809,23.871025
252,157,441,262,14888,9293,494262,426819,23.870682
79,311,139,559,10137,6842,437620,402197,23.855945
87,299,160,531,1717,237,333324,305935,23.855276
279,139,489,223,2693,6546,346798,397786,23.852451
303,31,539,69,1252,859,325529,318889,23.851477
214,159,380,269,2818,9334,348747,427423,23.851208
214,158,380,269,2818,8646,348747,418960,23.851208
214,160,380,269,2818,10026,348747,436366,23.851208
317,178,560,319,1986,2441,337589,343048,23.849495
316,178,560,319,1986,2441,337589,343048,23.849495
137,270,222,484,5190,3703,381551,361928,23.846432
90,139,171,223,7519,6546,410045,397786,23.839471
89,194,171,350,7381,2072,408834,338745,23.834567
266,282,482,489,4873,3109,377794,353672,23.834055
267,282,482,489,4936,3109,378449,353672,23.834055
2,279,11,489,8739,2693,419866,346798,23.829051
76,2,139,11,9533,8739,429596,419866,23.820395
193,191,342,341,13991,14444,483598,489091,23.813365
292,237,511,421,13251,13836,474019,481458,23.812324
232,228,409,401,3195,3170,354831,354449,23.807858
162,213,279,380,5654,2770,386600,347721,23.804802
147,151,241,251,13629,14845,478861,493469,23.792535
147,152,241,251,13629,14856,478861,493733,23.792535
238,282,421,489,14110,3109,484667,353672,23.786902
112,265,190,481,4104,3221,366886,355232,23.78609
9,36,41,81,1613,2304,332280,340917,23.785425
20,10,61,42,1012,1832,321736,335597,23.773888
47,300,101,531,13959,300,483026,307557,23.767154
175,21,300,61,1953,1247,337188,325474,23.765668
134,204,219,371,9709,11860,432001,454726,23.760123
226,152,399,251,10155,14856,437809,493733,23.759701
226,151,399,251,10155,14845,437809,493469,23.759701
287,299,499,531,1503,237,330452,305935,23.758755
181,315,319,560,3673,1925,361539,336667,23.749217
7,57,19,123,9379,11643,428054,452442,23.740422
213,2,380,11,2770,8739,347721,419866,23.737887
239,20,421,61,14191,1012,485714,321736,23.725925
178,278,319,489,2441,2579,343048,345412,23.719996
26,136,64,221,342,5918,308387,390084,23.715815
154,256,261,452,10449,11192,440834,447820,23.697954
140,274,229,486,5509,4351,385093,370166,23.690155
75,28,132,64,11728,645,453331,314028,23.687525
241,257,422,459,12477,11787,463403,453864,23.686494
234,199,411,362,184,12847,304311,468821,23.675183
214,134,380,219,2818,9709,348747,432001,23.667315
115,211,190,379,5760,13126,388180,472346,23.659055
213,54,380,122,2770,12175,347721,458556,23.655721
199,118,362,201,12847,4476,468821,372451,23.65106
155,183,261,321,10506,1419,441355,328700,23.650899
90,214,171,380,7519,2818,410045,348747,23.64984
212,226,380,399,2420,10155,342898,437809,23.649609
319,250,560,429,2353,13697,341490,479874,23.64762
31,198,69,361,859,14646,318889,491182,23.646665
276,28,487,64,2897,645,350299,314028,23.646613
222,294,393,512,10576,13694,442244,479838,23.641669
101,230,181,402,8884,4008,421868,365635,23.635555
92,278,172,489,6491,2579,397178,345412,23.631162
203,306,369,540,13794,11539,480932,451117,23.629745
138,214,223,380,6300,2818,395671,348747,23.624501
182,97,319,179,3845,6947,363891,403496,23.615009
100,133,181,219,8648,8959,418964,423091,23.611499
219,210,392,379,11554,12797,451258,468246,23.606633
215,249,380,429,3491,13549,358711,478104,23.605286
163,82,280,139,6275,11574,395467,451518,23.595639
164,82,280,139,6887,11574,402884,451518,23.595639
139,15,223,50,6546,4870,397786,377775,23.586738
286,154,491,261,1785,10449,334454,440834,23.583959
303,203,539,369,1252,13794,325529,480932,23.572892
179,98,319,179,3031,6996,352773,404080,23.558273
59,208,124,373,10684,12931,443554,469919,23.54342
314,40,559,89,7600,2260,410915,340498,23.542246
263,68,473,129,9977,11901,435955,455320,23.540507
261,282,471,489,6400,3109,396179,353672,23.535723
138,132,223,219,6300,8389,395671,416611,23.526867
215,156,380,262,3491,9081,358711,424609,23.516035
225,104,399,183,10115,9438,437419,428587,23.51232
215,243,380,423,3491,13976,358711,483312,23.509531
91,316,171,560,7983,1986,414089,337589,23.506654
91,317,171,560,7983,1986,414089,337589,23.506654
162,226,279,399,5654,10155,386600,437809,23.499346
282,40,489,89,3109,2260,353672,340498,23.49364
136,314,221,559,5918,7600,390084,410915,23.493524
267,270,482,484,4936,3703,378449,361928,23.477416
266,270,482,484,4873,3703,377794,361928,23.477416
138,273,223,486,6300,4124,395671,367103,23.470815
216,261,380,471,3565,6400,359698,396179,23.453461
264,279,479,489,9408,2693,428302,346798,23.452756
262,279,472,489,8902,2693,422132,346798,23.441656
274,29,486,65,4351,803,370166,316870,23.428524
312,232,559,409,7218,3195,406783,354831,23.423201
154,151,261,251,10449,14845,440834,493469,23.413292
154,152,261,251,10449,14856,440834,493733,23.413292
155,306,261,540,10506,11539,441355,451117,23.41267
163,20,280,61,6275,1012,395467,321736,23.411207
164,20,280,61,6887,1012,402884,321736,23.411207
213,60,380,124,2770,10921,347721,445695,23.394313
85,260,160,460,1367,3711,327259,362062,23.393946
217,67,391,129,9692,11362,431812,449306,23.392454
39,277,89,488,2043,2982,338237,351899,23.388552
97,203,179,369,6947,13794,403496,480932,23.385874
81,282,139,489,11155,3109,447563,353672,23.381404
151,276,251,487,14845,2897,493469,350299,23.37559
152,276,251,487,14856,2897,493733,350299,23.37559
26,271,64,484,342,3800,308387,363320,23.36713
112,25,190,63,4104,1326,366886,326398,23.365096
230,139,402,223,4008,6546,365635,397786,23.359981
107,208,189,373,8437,12931,416847,469919,23.349763
168,75,292,132,6163,11728,394071,453331,23.34893
216,107,380,189,3565,8437,359698,416847,23.347979
14,278,50,489,4812,2579,377024,345412,23.347972
147,262,241,472,13629,8902,478861,422132,23.3372
139,147,223,241,6546,13629,397786,478861,23.337018
265,141,481,229,3221,5644,355232,386552,23.312659
318,41,560,89,2216,2362,340080,341849,23.302163
278,90,489,171,2579,7519,345412,410045,23.287523
5,210,19,379,8901,12797,422118,468246,23.283522
21,203,61,369,1247,13794,325474,480932,23.281713
278,136,489,221,2579,5918,345412,390084,23.281236
260,216,460,380,3711,3565,362062,359698,23.278688
162,25,279,63,5654,1326,386600,326398,23.275826
319,283,560,491,2353,1660,341490,332808,23.251422
162,274,279,486,5654,4351,386600,370166,23.239128
179,270,319,484,3031,3703,352773,361928,23.235948
213,6,380,19,2770,9020,347721,423914,23.220016
205,253,372,451,12241,12364,459525,461299,23.219791
60,140,124,229,10921,5509,445695,385093,23.218434
90,197,171,350,7519,2416,410045,342876,23.211774
253,193,451,342,12364,13991,461299,483598,23.204113
89,21,171,61,7381,1247,408834,325474,23.195816
261,264,471,479,6400,9408,396179,428302,23.186148
279,29,489,65,2693,803,346798,316870,23.170869
75,162,132,279,11728,5654,453331,386600,23.17037
42,63,89,129,2387,9809,342105,433465,23.16968
142,214,229,380,5681,2818,386981,348747,23.160088
138,11,223,49,6300,1467,395671,329710,23.15504
5,255,19,452,8901,10871,422118,445277,23.150527
91,25,171,63,7983,1326,414089,326398,23.149885
99,81,179,139,7438,11155,409272,447563,23.136453
250,238,429,421,13697,14110,479874,484667,23.12963
91,107,171,189,7983,8437,414089,416847,23.127629
136,262,221,472,5918,8902,390084,422132,23.127125
195,31,350,69,2073,859,338763,318889,23.127059
258,311,460,559,2483,6842,344021,402197,23.126484
85,23,160,62,1367,593,327259,312988,23.114069
306,148,540,242,11539,13254,451117,474045,23.110978
306,149,540,242,11539,13644,451117,478955,23.110978
282,101,489,181,3109,8884,353672,421868,23.102941
209,75,379,132,11686,11728,453036,453331,23.100578
315,35,560,81,1925,2255,336667,340445,23.097969
203,241,369,422,13794,12477,480932,463403,23.074996
136,21,221,61,5918,1247,390084,325474,23.071813
117,311,190,559,6061,6842,392352,402197,23.069717
132,155,219,261,8389,10506,416611,441355,23.061976
177,281,311,489,4065,2836,366354,349158,23.05606
6,226,19,399,9020,10155,423914,437809,23.040912
215,40,380,89,3491,2260,358711,340498,23.039916
311,248,559,429,6842,13535,402197,477840,23.037945
254,96,451,179,12383,6723,461503,400579,23.029376
216,89,380,171,3565,7381,359698,408834,23.027152
235,162,419,279,48,5654,301480,386600,23.015446
8,71,19,131,9382,9748,428070,432669,23.01333
216,97,380,179,3565,6947,359698,403496,23.012604
68,294,129,512,11901,13694,455320,479838,23.011446
139,214,223,380,6546,2818,397786,348747,23.008939
294,49,512,111,13694,13419,479838,476164,22.988832
260,235,460,419,3711,48,362062,301480,22.98184
235,12,419,49,48,1591,301480,332121,22.972895
204,155,371,261,11860,10506,454726,441355,22.968668
138,278,223,489,6300,2579,395671,345412,22.948728
182,32,319,69,3845,865,363891,319096,22.946786
280,137,489,222,2832,5190,349115,381551,22.94423
136,2,221,11,5918,8739,390084,419866,22.928282
30,203,69,369,724,13794,315673,480932,22.924343
154,183,261,321,10449,1419,440834,328700,22.924325
306,219,540,392,11539,11554,451117,451258,22.923601
178,235,319,419,2441,48,343048,301480,22.914951
139,132,223,219,6546,8389,397786,416611,22.91385
237,20,421,61,13836,1012,481458,321736,22.91361
9,276,41,487,1613,2897,332280,350299,22.899517
112,192,190,341,4104,14507,366886,489881,22.866784
181,283,319,491,3673,1660,361539,332808,22.863088
139,273,223,486,6546,4124,397786,367103,22.859258
250,218,429,392,13697,11504,479874,450746,22.855605
42,61,89,129,2387,8533,342105,417974,22.837498
31,200,69,363,859,14568,318889,490541,22.831577
214,92,380,172,2818,6491,348747,397178,22.828173
214,258,380,460,2818,2483,348747,344021,22.821964
126,280,209,489,4174,2832,367777,349115,22.821525
103,91,182,171,9073,7983,424523,414089,22.81902
6,262,19,472,9020,8902,423914,422132,22.815598
81,163,139,280,11155,6275,447563,395467,22.815074
81,164,139,280,11155,6887,447563,402884,22.815074
4,76,12,139,7596,9533,410839,429596,22.812527
105,118,183,201,9470,4476,428994,372451,22.793729
279,120,489,202,2693,3383,346798,357396,22.789742
166,97,291,179,4704,6947,375681,403496,22.777063
