year,MyLkID,tnc_AB (k),tnc_BA (k),tnc_TOT (k),TMc_e (M)
2025,110,0.0,0.0,0.0,0.0
2025,111,0.0,0.0,0.0,0.0
2025,112,0.0,0.0,0.0,0.0
2025,113,0.0,0.0,0.0,0.0
2025,114,0.0,0.0,0.0,0.0
2025,115,3.541,2.627,6.167999999999999,0.001540218467808423
2025,116,0.0,0.0,0.0,0.0
2025,117,0.0,0.0,0.0,0.0
2025,118,0.0,0.0,0.0,0.0
2025,119,0.0,0.0,0.0,0.0
2025,120,0.0,0.0,0.0,0.0
2025,121,0.0,0.0,0.0,0.0
2025,122,0.0,0.0,0.0,0.0
2025,123,74.032,141.694,215.726,0.03043782901476458
2025,124,0.0,0.0,0.0,0.0
2025,125,0.0,0.0,0.0,0.0
2025,126,0.0,0.0,0.0,0.0
2025,127,0.0,0.0,0.0,0.0
2025,128,0.0,0.0,0.0,0.0
2025,129,0.0,0.0,0.0,0.0
2025,130,0.0,0.0,0.0,0.0
2025,131,0.0,0.0,0.0,0.0
2025,132,96.049,0.0,96.049,0.015796940029096342
2025,133,0.0,0.0,0.0,0.0
2025,134,0.0,0.0,0.0,0.0
2025,135,0.0,0.0,0.0,0.0
2025,136,0.0,0.0,0.0,0.0
2025,137,0.0,0.0,0.0,0.0
2025,138,0.0,0.0,0.0,0.0
2025,139,0.0,0.0,0.0,0.0
2025,140,0.0,0.0,0.0,0.0
2025,141,0.0,0.0,0.0,0.0
2025,142,0.0,0.0,0.0,0.0
2025,143,0.0,0.0,0.0,0.0
2025,144,0.0,0.0,0.0,0.0
2025,145,0.0,0.0,0.0,0.0
2025,146,0.0,0.0,0.0,0.0
2025,147,0.0,0.0,0.0,0.0
2025,148,0.0,0.0,0.0,0.0
2025,149,0.0,0.0,0.0,0.0
2025,150,0.0,0.0,0.0,0.0
2025,151,0.0,0.0,0.0,0.0
2025,152,0.0,0.0,0.0,0.0
2025,153,0.0,0.0,0.0,0.0
2025,154,0.0,0.0,0.0,0.0
2025,155,0.0,0.0,0.0,0.0
2025,156,269.298,2887.884,3157.182,11.726406885020378
2025,157,0.0,0.0,0.0,0.0
2025,158,0.0,0.0,0.0,0.0
2025,159,0.0,0.0,0.0,0.0
2025,160,0.0,0.0,0.0,0.0
2025,161,0.0,2105.691,2105.691,1.4527577381008818
2025,162,0.0,3.541,3.541,0.0006942899214115883
2025,163,0.0,0.0,0.0,0.0
2025,164,0.0,0.0,0.0,0.0
2025,165,0.0,0.0,0.0,0.0
2025,166,0.0,0.0,0.0,0.0
2025,167,0.0,0.0,0.0,0.0
2025,168,3022.859,0.0,3022.859,200.90315148314636
2025,169,55.793,88.337,144.13,3.643753689503944
2025,170,762.771,0.0,762.771,32.88903517379535
2025,171,0.0,0.0,0.0,0.0
2025,172,1014.472,468.944,1483.416,4.128188211934197
2025,173,55.793,88.337,144.13,2.843167818397053
2025,174,0.0,0.0,0.0,0.0
2025,175,63.077,72.791,135.868,3.2247025917829126
2025,176,1639.3,1464.329,3103.629,232.5153499225263
2025,177,2491.485,4292.389,6783.874,284.52656022318945
2025,178,63.077,72.791,135.868,0.16040758662936172
2025,179,0.0,14.164,14.164,0.057393036206597275
2025,180,267.39,232.078,499.46799999999996,2.7869339257854446
2025,181,0.0,0.0,0.0,0.0
2025,182,0.0,7.867,7.867,0.6159546344099635
2025,183,0.0,0.0,0.0,0.0
2025,184,0.0,0.0,0.0,0.0
2025,185,1019.71,485.552,1505.2620000000002,50.38160848911523
2025,186,28.864,47.588,76.452,0.022111624649036207
2025,187,1154.804,534.781,1689.585,13.593636591516967
2025,188,1154.804,534.781,1689.585,40.24131870043914
2025,189,2105.691,0.0,2105.691,22.041652563760447
2025,190,534.781,1154.804,1689.585,32.31931461086489
2025,191,4292.389,2491.485,6783.874,174.00420349599634
2025,192,0.0,0.0,0.0,0.0
2025,193,0.0,0.0,0.0,0.0
2025,194,0.0,0.0,0.0,0.0
2025,195,16.607,5.238,21.845,0.5804586334595729
2025,196,23.729,60.403,84.132,1.5428850762374946
2025,197,361.579,0.0,361.579,12.71602140645471
2025,198,0.0,0.0,0.0,0.0
2025,199,0.0,1000.636,1000.636,2.4563073379446774
2025,200,0.0,0.0,0.0,0.0
2025,201,13.433,787.52,800.953,5.903869034512176
2025,202,0.0,0.0,0.0,0.0
2025,203,600.544,0.0,600.544,17.95572680569128
2025,204,0.0,0.0,0.0,0.0
2025,205,534.781,1154.804,1689.585,0.7563032122465022
2025,206,3092.028,4292.389,7384.4169999999995,459.403295550852
2025,207,41.036,22.836,63.872,6.320349761456629
2025,208,508.223,0.0,508.223,0.6848120535721246
2025,209,0.0,7.082,7.082,0.006830565913761152
2025,210,0.0,1537.028,1537.028,38.53857585297075
2025,211,34.903,2332.44,2367.343,170.35779073554775
2025,212,795.537,1464.082,2259.619,132.90145778420592
2025,213,0.0,0.0,0.0,0.0
2025,214,0.0,0.0,0.0,0.0
2025,215,1065.952,90.344,1156.296,12.871805336325908
2025,216,3022.859,0.0,3022.859,175.57445049472148
2025,217,0.0,2105.691,2105.691,103.1971912898577
2025,218,2639.623,5547.025,8186.647999999999,786.0499660085546
2025,219,1103.623,7570.433,8674.056,149.41536546573312
2025,220,534.781,1154.804,1689.585,87.03035564923528
2025,221,0.0,0.0,0.0,0.0
2025,222,3092.028,4292.389,7384.4169999999995,366.33133674699764
2025,223,1411.645,559.548,1971.193,58.85732023909259
2025,224,1259.175,2333.17,3592.3450000000003,1.8032723918810967
2025,225,1887.248,269.298,2156.5460000000003,13.831438241171584
2025,226,96.049,0.0,96.049,0.22446069432261995
2025,227,0.0,0.0,0.0,0.0
2025,228,0.0,0.0,0.0,0.0
2025,229,418.208,1197.801,1616.009,2.8024666519270873
2025,230,1994.934,20.694,2015.628,3.9625531723635414
2025,231,0.0,0.0,0.0,0.0
2025,232,0.0,0.0,0.0,0.0
2025,233,0.0,0.0,0.0,0.0
2025,234,6.716,974.496,981.212,3.346656755062563
2025,235,28.417,675.012,703.429,0.9256239315876389
2025,236,6.716,974.496,981.212,0.5295442334889024
2025,237,2340.667,4017.314,6357.981,59.49692962709785
2025,238,90.344,1065.952,1156.296,14.298429588172624
2025,239,355.317,30.115,385.432,0.5040041068799854
2025,240,63.077,72.791,135.868,1.2184573276126907
2025,241,0.0,0.0,0.0,0.0
2025,242,5.253,24.787,30.04,0.10152337424226701
2025,243,2048.554,4490.269,6538.823,110.24895229074187
2025,244,24.787,5.253,30.04,0.027268585840897835
2025,245,69.407,348.794,418.20099999999996,2.6107316430357836
2025,246,3092.028,4292.389,7384.4169999999995,25.833726348661507
2025,247,0.0,0.0,0.0,0.0
2025,248,1557.258,4010.131,5567.389,385.0808303691133
2025,249,0.0,0.0,0.0,0.0
2025,250,15.333,826.001,841.334,0.8761207964260908
2025,251,2625.509,4986.06,7611.569,389.1233408653513
2025,252,4010.131,1557.258,5567.389,385.26253505533253
2025,253,0.0,0.0,0.0,0.0
2025,254,0.0,0.0,0.0,0.0
2025,255,0.0,0.0,0.0,0.0
2025,256,0.0,0.0,0.0,0.0
2025,257,1989.713,2305.014,4294.727,30.750441930729046
