year,avgDoC,CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
2025,0.0,0.00676048708200361,0.0064306221583703685,0.009564911887073266,0.006146676341169156,0.0030895356224176253,0.011452653202551021,0.006507982817993145,0.0034738511683074865,0.0059915640982216
2025,0.2,0.33238614768807256,0.5308942223442146,0.4062551221648099,0.38205935469839636,0.05222116597188685,0.5148621338850241,0.1531790296657484,0.43743992494464445,0.2952745174092687
2025,0.4,0.18409002864652166,0.1697320663194231,0.15768469352216677,0.3076113854558214,0.22631332800664009,0.3063689387021559,0.13846766958471743,0.2322475339242842,0.332984047714265
2025,0.6,0.21902321931779822,0.12649788690756678,0.0784090473874812,0.09987995845674875,0.41372422599842906,0.0975231911430287,0.27895138685724796,0.16074957119139188,0.11043430838164206
2025,0.8,0.039195695200672,0.07483605799238939,0.0887056624214674,0.11139670321638713,0.08815226494434791,0.04485706778653868,0.1232590731506083,0.08834187116332719,0.1297845244850702
2025,1.0,0.0324537754090225,0.025077812305853254,0.147345836223546,0.025670746952758065,0.07601810255198746,0.012028720589642786,0.15524136325846505,0.026447570345863588,0.11399924229666991
2025,1.2,0.059646108512167666,0.018078172846744317,0.03893352348104652,0.0296635355596106,0.04186372131584724,0.0039055553199296884,0.05671139017621402,0.009500749321079773,0.0068170427957625354
2025,1.4,0.02481168916427106,0.0354104439967365,0.036698506794688605,0.013715614878216717,0.00757373705705491,0.0026716791840264353,0.05197251284370469,0.025958678722661957,0.002702985715742802
2025,1.6,0.007301507602509727,0.007416792801253098,0.023367305272282753,0.01997783401020167,0.0618843013600246,0.0024200265855545333,0.02324605108225056,0.0016361755480436312,0.0004829632503062586
2025,1.8,0.07724831430828757,0.0035545111893295453,0.007078559898364795,0.001683089968827681,0.00044338388755570313,0.001101443038459546,0.006580190955745317,0.0031660706025447875,0.0006896363950827794
2025,2.0,0.006779107442102558,8.404562714954269e-05,0.0012928267643460935,0.0006021875159226248,0.02839159334005708,0.0005736610927815461,0.0010076360835672507,0.00691983684219412,0.00021520709895205234
2025,2.2,0.0,0.00060102863009245,0.0012777237390996404,0.0012469407946014816,8.265289138540651e-05,0.00010867576955645046,0.0009593747106361511,0.0035296318869270414,4.761410058988768e-05
2025,2.4,0.008158973031452002,4.1787773230570194e-05,0.001534379607869019,0.0,0.0,0.00042472067422596733,0.0004792390798186575,7.997606089623639e-06,0.00012143046418612272
2025,2.6,0.0,0.00013835576195879754,0.00038468226191119967,0.0,0.00016824500828928747,0.00044766405664172057,0.002052842393345086,9.811591677349202e-05,0.00015306625155194097
2025,16.0,0.0021449465951188604,0.0012061933456876325,0.001467218573846824,0.0003459721513384042,7.374204407676539e-05,0.0012538689698829738,0.0013842573399379602,0.0004824208158667497,0.0003018495426881841
