,freight_demand_scenario,year,energy_system_scenario,region,technology,upstream_CO2_emission_factor,CO2_emission_factor_unit
1703,agricultual_production_shift,2025,business_as_usual,north_central,hydrogen,6.047516198704104,kg_of_CO2/kg_of_H2
1704,agricultual_production_shift,2025,business_as_usual,south_east,electricity,0.3085658805986329,kg of CO2/kWh of electricity
1705,agricultual_production_shift,2025,business_as_usual,south_east,hydrogen,6.047516198704105,kg_of_CO2/kg_of_H2
1706,agricultual_production_shift,2025,business_as_usual,south_west,electricity,0.3913477652321585,kg of CO2/kWh of electricity
1707,agricultual_production_shift,2025,business_as_usual,south_west,hydrogen,6.047516198704104,kg_of_CO2/kg_of_H2
1708,agricultual_production_shift,2025,business_as_usual,texas,electricity,0.2528315276949193,kg of CO2/kWh of electricity
1709,agricultual_production_shift,2025,business_as_usual,texas,hydrogen,6.047516198704104,kg_of_CO2/kg_of_H2
1998,agricultual_production_shift,2030,net_zero_2050,california,electricity,0.0019198541571691,kg of CO2/kWh of electricity
1999,agricultual_production_shift,2030,net_zero_2050,california,hydrogen,-12.008639699827135,kg_of_CO2/kg_of_H2
2000,agricultual_production_shift,2030,net_zero_2050,central,electricity,0.0317912867919091,kg of CO2/kWh of electricity
2001,agricultual_production_shift,2030,net_zero_2050,central,hydrogen,5.943287838626413,kg_of_CO2/kg_of_H2
2002,agricultual_production_shift,2030,net_zero_2050,middle_atlantic,electricity,0.1752648043692582,kg of CO2/kWh of electricity
2003,agricultual_production_shift,2030,net_zero_2050,middle_atlantic,hydrogen,5.954840712857132,kg_of_CO2/kg_of_H2
2004,agricultual_production_shift,2030,net_zero_2050,north_east,electricity,0.0509036330627221,kg of CO2/kWh of electricity
2005,agricultual_production_shift,2030,net_zero_2050,north_east,hydrogen,5.92570208650316,kg_of_CO2/kg_of_H2
2006,agricultual_production_shift,2030,net_zero_2050,north_west,electricity,0.010400907891628,kg of CO2/kWh of electricity
2007,agricultual_production_shift,2030,net_zero_2050,north_west,hydrogen,5.946834881859997,kg_of_CO2/kg_of_H2
2008,agricultual_production_shift,2030,net_zero_2050,north_central,electricity,0.0474547139814077,kg of CO2/kWh of electricity
2009,agricultual_production_shift,2030,net_zero_2050,north_central,hydrogen,5.946461361069437,kg_of_CO2/kg_of_H2
2010,agricultual_production_shift,2030,net_zero_2050,south_east,electricity,0.0708497106362005,kg of CO2/kWh of electricity
2011,agricultual_production_shift,2030,net_zero_2050,south_east,hydrogen,5.959899951942788,kg_of_CO2/kg_of_H2
2012,agricultual_production_shift,2030,net_zero_2050,south_west,electricity,0.0299039066116692,kg of CO2/kWh of electricity
2013,agricultual_production_shift,2030,net_zero_2050,south_west,hydrogen,5.958598756991804,kg_of_CO2/kg_of_H2
2014,agricultual_production_shift,2030,net_zero_2050,texas,electricity,0.0318293269881274,kg of CO2/kWh of electricity
2015,agricultual_production_shift,2030,net_zero_2050,texas,hydrogen,5.959156773971478,kg_of_CO2/kg_of_H2
2322,agricultual_production_shift,2030,50%_reduction_2050,california,electricity,0.0026748136338883,kg of CO2/kWh of electricity
2323,agricultual_production_shift,2030,50%_reduction_2050,california,hydrogen,-12.008639966672131,kg_of_CO2/kg_of_H2
2324,agricultual_production_shift,2030,50%_reduction_2050,central,electricity,0.2388603476783712,kg of CO2/kWh of electricity
2325,agricultual_production_shift,2030,50%_reduction_2050,central,hydrogen,6.042675731391952,kg_of_CO2/kg_of_H2
2326,agricultual_production_shift,2030,50%_reduction_2050,middle_atlantic,electricity,0.2515148610352684,kg of CO2/kWh of electricity
2327,agricultual_production_shift,2030,50%_reduction_2050,middle_atlantic,hydrogen,6.045100847995063,kg_of_CO2/kg_of_H2
2328,agricultual_production_shift,2030,50%_reduction_2050,north_east,electricity,0.0476851247419961,kg of CO2/kWh of electricity
2329,agricultual_production_shift,2030,50%_reduction_2050,north_east,hydrogen,6.044816650550263,kg_of_CO2/kg_of_H2
2330,agricultual_production_shift,2030,50%_reduction_2050,north_west,electricity,0.2845470116316012,kg of CO2/kWh of electricity
2331,agricultual_production_shift,2030,50%_reduction_2050,north_west,hydrogen,6.043832062053388,kg_of_CO2/kg_of_H2
2332,agricultual_production_shift,2030,50%_reduction_2050,north_central,electricity,0.3690838149894976,kg of CO2/kWh of electricity
2333,agricultual_production_shift,2030,50%_reduction_2050,north_central,hydrogen,6.043582319469241,kg_of_CO2/kg_of_H2
2334,agricultual_production_shift,2030,50%_reduction_2050,south_east,electricity,0.2497741098193682,kg of CO2/kWh of electricity
2335,agricultual_production_shift,2030,50%_reduction_2050,south_east,hydrogen,6.044688697043903,kg_of_CO2/kg_of_H2
2336,agricultual_production_shift,2030,50%_reduction_2050,south_west,electricity,0.2512373192342126,kg of CO2/kWh of electricity
2337,agricultual_production_shift,2030,50%_reduction_2050,south_west,hydrogen,6.045863000613273,kg_of_CO2/kg_of_H2
2338,agricultual_production_shift,2030,50%_reduction_2050,texas,electricity,0.1170033666345875,kg of CO2/kWh of electricity
2339,agricultual_production_shift,2030,50%_reduction_2050,texas,hydrogen,6.044740717425667,kg_of_CO2/kg_of_H2
2664,agricultual_production_shift,2030,business_as_usual,california,electricity,0.005102438170142,kg of CO2/kWh of electricity
2665,agricultual_production_shift,2030,business_as_usual,california,hydrogen,-12.008639966672057,kg_of_CO2/kg_of_H2
2666,agricultual_production_shift,2030,business_as_usual,central,electricity,0.2367018137138613,kg of CO2/kWh of electricity
2667,agricultual_production_shift,2030,business_as_usual,central,hydrogen,6.046892804770152,kg_of_CO2/kg_of_H2
2668,agricultual_production_shift,2030,business_as_usual,middle_atlantic,electricity,0.2493446570080614,kg of CO2/kWh of electricity
2669,agricultual_production_shift,2030,business_as_usual,middle_atlantic,hydrogen,6.047558421029242,kg_of_CO2/kg_of_H2
2670,agricultual_production_shift,2030,business_as_usual,north_east,electricity,0.0480314868065315,kg of CO2/kWh of electricity
2671,agricultual_production_shift,2030,business_as_usual,north_east,hydrogen,6.048151515933074,kg_of_CO2/kg_of_H2
2672,agricultual_production_shift,2030,business_as_usual,north_west,electricity,0.2815606546312467,kg of CO2/kWh of electricity
2673,agricultual_production_shift,2030,business_as_usual,north_west,hydrogen,6.0469232127112535,kg_of_CO2/kg_of_H2
2674,agricultual_production_shift,2030,business_as_usual,north_central,electricity,0.3714022188281379,kg of CO2/kWh of electricity
2675,agricultual_production_shift,2030,business_as_usual,north_central,hydrogen,6.047594288945856,kg_of_CO2/kg_of_H2
2676,agricultual_production_shift,2030,business_as_usual,south_east,electricity,0.2488896058033495,kg of CO2/kWh of electricity
2677,agricultual_production_shift,2030,business_as_usual,south_east,hydrogen,6.047597092692988,kg_of_CO2/kg_of_H2
2678,agricultual_production_shift,2030,business_as_usual,south_west,electricity,0.2074677839648724,kg of CO2/kWh of electricity
2679,agricultual_production_shift,2030,business_as_usual,south_west,hydrogen,6.0475975726598215,kg_of_CO2/kg_of_H2
2680,agricultual_production_shift,2030,business_as_usual,texas,electricity,0.1215230702709937,kg of CO2/kWh of electricity
2681,agricultual_production_shift,2030,business_as_usual,texas,hydrogen,6.047342312201987,kg_of_CO2/kg_of_H2
2970,agricultual_production_shift,2035,net_zero_2050,california,electricity,0.0021999774775969,kg of CO2/kWh of electricity
2971,agricultual_production_shift,2035,net_zero_2050,california,hydrogen,-12.008638789952716,kg_of_CO2/kg_of_H2
2972,agricultual_production_shift,2035,net_zero_2050,central,electricity,0.0041339415410597,kg of CO2/kWh of electricity
2973,agricultual_production_shift,2035,net_zero_2050,central,hydrogen,-12.008631035905069,kg_of_CO2/kg_of_H2
2974,agricultual_production_shift,2035,net_zero_2050,middle_atlantic,electricity,0.0714801092534251,kg of CO2/kWh of electricity
2975,agricultual_production_shift,2035,net_zero_2050,middle_atlantic,hydrogen,-12.008457947053458,kg_of_CO2/kg_of_H2
2976,agricultual_production_shift,2035,net_zero_2050,north_east,electricity,0.0313517244400975,kg of CO2/kWh of electricity
2977,agricultual_production_shift,2035,net_zero_2050,north_east,hydrogen,-12.008460321164309,kg_of_CO2/kg_of_H2
2978,agricultual_production_shift,2035,net_zero_2050,north_west,electricity,3.845027218965936e-08,kg of CO2/kWh of electricity
2979,agricultual_production_shift,2035,net_zero_2050,north_west,hydrogen,-12.008592660381762,kg_of_CO2/kg_of_H2
2980,agricultual_production_shift,2035,net_zero_2050,north_central,electricity,2.0527351848927193e-08,kg of CO2/kWh of electricity
2981,agricultual_production_shift,2035,net_zero_2050,north_central,hydrogen,-12.008634706028262,kg_of_CO2/kg_of_H2
2982,agricultual_production_shift,2035,net_zero_2050,south_east,electricity,0.0103633341433975,kg of CO2/kWh of electricity
2983,agricultual_production_shift,2035,net_zero_2050,south_east,hydrogen,-12.008635807189274,kg_of_CO2/kg_of_H2
2984,agricultual_production_shift,2035,net_zero_2050,south_west,electricity,2.5119074806356948e-08,kg of CO2/kWh of electricity
2985,agricultual_production_shift,2035,net_zero_2050,south_west,hydrogen,-12.008601634249992,kg_of_CO2/kg_of_H2
2986,agricultual_production_shift,2035,net_zero_2050,texas,electricity,0.0062264267977817,kg of CO2/kWh of electricity
2987,agricultual_production_shift,2035,net_zero_2050,texas,hydrogen,-12.008618747616238,kg_of_CO2/kg_of_H2
3294,agricultual_production_shift,2035,50%_reduction_2050,california,electricity,0.0039217446237048,kg of CO2/kWh of electricity
3295,agricultual_production_shift,2035,50%_reduction_2050,california,hydrogen,-12.008639832251715,kg_of_CO2/kg_of_H2
3296,agricultual_production_shift,2035,50%_reduction_2050,central,electricity,0.1751271552001715,kg of CO2/kWh of electricity
3297,agricultual_production_shift,2035,50%_reduction_2050,central,hydrogen,6.039300808050753,kg_of_CO2/kg_of_H2
3298,agricultual_production_shift,2035,50%_reduction_2050,middle_atlantic,electricity,0.2087957782130542,kg of CO2/kWh of electricity
3299,agricultual_production_shift,2035,50%_reduction_2050,middle_atlantic,hydrogen,6.044829577267638,kg_of_CO2/kg_of_H2
3300,agricultual_production_shift,2035,50%_reduction_2050,north_east,electricity,0.0491274185690816,kg of CO2/kWh of electricity
3301,agricultual_production_shift,2035,50%_reduction_2050,north_east,hydrogen,6.041117646709731,kg_of_CO2/kg_of_H2
3302,agricultual_production_shift,2035,50%_reduction_2050,north_west,electricity,0.1978062704497172,kg of CO2/kWh of electricity
3303,agricultual_production_shift,2035,50%_reduction_2050,north_west,hydrogen,6.042824257119681,kg_of_CO2/kg_of_H2
3304,agricultual_production_shift,2035,50%_reduction_2050,north_central,electricity,0.3379234609708183,kg of CO2/kWh of electricity
3305,agricultual_production_shift,2035,50%_reduction_2050,north_central,hydrogen,6.041306097106864,kg_of_CO2/kg_of_H2
3306,agricultual_production_shift,2035,50%_reduction_2050,south_east,electricity,0.2298045048741185,kg of CO2/kWh of electricity
3307,agricultual_production_shift,2035,50%_reduction_2050,south_east,hydrogen,6.0413972234478885,kg_of_CO2/kg_of_H2
3308,agricultual_production_shift,2035,50%_reduction_2050,south_west,electricity,0.1142588311363987,kg of CO2/kWh of electricity
3309,agricultual_production_shift,2035,50%_reduction_2050,south_west,hydrogen,6.04574809206505,kg_of_CO2/kg_of_H2
3310,agricultual_production_shift,2035,50%_reduction_2050,texas,electricity,0.1043046138174675,kg of CO2/kWh of electricity
3311,agricultual_production_shift,2035,50%_reduction_2050,texas,hydrogen,6.041808826097865,kg_of_CO2/kg_of_H2
3636,agricultual_production_shift,2035,business_as_usual,california,electricity,0.0060289872742815,kg of CO2/kWh of electricity
3637,agricultual_production_shift,2035,business_as_usual,california,hydrogen,-12.008639857345516,kg_of_CO2/kg_of_H2
3638,agricultual_production_shift,2035,business_as_usual,central,electricity,0.1841369828326564,kg of CO2/kWh of electricity
3639,agricultual_production_shift,2035,business_as_usual,central,hydrogen,6.047393037187677,kg_of_CO2/kg_of_H2
3640,agricultual_production_shift,2035,business_as_usual,middle_atlantic,electricity,0.2335626522861655,kg of CO2/kWh of electricity
3641,agricultual_production_shift,2035,business_as_usual,middle_atlantic,hydrogen,6.04739300027815,kg_of_CO2/kg_of_H2
3642,agricultual_production_shift,2035,business_as_usual,north_east,electricity,0.0494939238571757,kg of CO2/kWh of electricity
3643,agricultual_production_shift,2035,business_as_usual,north_east,hydrogen,6.05160915624544,kg_of_CO2/kg_of_H2
3644,agricultual_production_shift,2035,business_as_usual,north_west,electricity,0.2627555807224723,kg of CO2/kWh of electricity
3645,agricultual_production_shift,2035,business_as_usual,north_west,hydrogen,6.047444559994559,kg_of_CO2/kg_of_H2
3646,agricultual_production_shift,2035,business_as_usual,north_central,electricity,0.3544237253027136,kg of CO2/kWh of electricity
3647,agricultual_production_shift,2035,business_as_usual,north_central,hydrogen,6.04738318137306,kg_of_CO2/kg_of_H2
3648,agricultual_production_shift,2035,business_as_usual,south_east,electricity,0.2448130854865016,kg of CO2/kWh of electricity
