TEMOA,year,rtm(Lk)(M),rtm(rCh)(M),Die (MGal),BioDie (MGal),Cat (GWh),Hyd (MkgH2),Bat (GWh),Die at_the_well (GJ),BioDie at_the_well (GJ),Cat at_the_well (GJ),Hyd at_the_well (GJ),Bat at_the_well (GJ),TrnMi (M),LocoMi (M),TndrMi (M),LocoHr,TndrHr
CA,2025,7590.3375,7068.7052,9.455697306703337,0.0,28.215619728081663,1.5188206402907392,8.877403109534379,0.0,0.0,0.0,0.0,0.0,0.7088341177788984,4.961838824452289,5.670672942231187,124.04597061130723,141.76682355577967
CEN,2025,8740.9644,11427.5139,11.252278396856516,0.0,22.135371280751595,2.749917474060748,15.348473579712788,0.0,0.0,0.0,0.0,0.0,0.8162869950131675,5.714008965092172,6.53029596010534,142.8502241273043,163.2573990026335
MID_AT,2025,2477.0171,20444.2114,20.218237130001334,0.0,37.384678282788364,5.209106509478578,29.087242118587632,0.0,0.0,0.0,0.0,0.0,0.2313196522291328,1.6192375656039297,1.8505572178330625,40.48093914009824,46.26393044582656
NE,2025,396.77450000000005,6445.849099999999,5.41473370609659,0.0,8.281816177025934,1.4355386940196289,7.863327458107549,0.0,0.0,0.0,0.0,0.0,0.03705333295978783,0.25937333071851476,0.2964266636783026,6.484333267962869,7.410666591957566
NW,2025,1371.0664000000002,5902.5881,5.5803717535422575,0.0,9.439864517881183,1.5245519438371131,8.151700098571336,0.0,0.0,0.0,0.0,0.0,0.1280389234418483,0.8962724640929381,1.0243113875347865,22.406811602323454,25.607784688369662
N_CEN,2025,6261.4058,17053.804,13.249559470948343,0.0,19.33892699675157,2.7035922471340625,18.66539405614104,0.0,0.0,0.0,0.0,0.0,0.5847300013074093,4.093110009151864,4.677840010459274,102.32775022879662,116.94600026148186
SE,2025,21973.8004,15442.4511,14.887692412635953,0.0,26.44687930230202,4.097096762204446,21.574210865242872,0.0,0.0,0.0,0.0,0.0,2.0520536037802803,14.364375226461963,16.416428830242243,359.1093806615491,410.4107207560561
SW,2025,14058.19,3278.8723,2.921892668746733,0.0,4.772316601264944,0.8180629846347146,4.277725117996116,0.0,0.0,0.0,0.0,0.0,1.312843428400665,9.189903998804654,10.50274742720532,229.74759997011637,262.568685680133
TX,2025,10877.0963,8806.6527,8.826478984790926,0.0,17.998115228017905,2.234660113615486,11.960576575970066,0.0,0.0,0.0,0.0,0.0,1.015772613511141,7.1104082945779865,8.126180908089127,177.76020736444966,203.15452270222818
