year,yNum,Yard,nLinks,State,OneNode,Lon,Lat,Region,SimTM (M),RTM (M),GTM (M),Die (MGal),BioDie (MGal),Cat (GWh),Hyd (MkgH2),Bat (GWh),Hyd (GWh),HydMWh/Day,BatMWh/Day,Die at_the_well (GJ),BioDie at_the_well (GJ),Cat at_the_well (GJ),Hyd at_the_well (GJ),Bat at_the_well (GJ)
2025,1,12TH STREET,3,MO,374765,-94.605093,39.086233,CEN,68.84330636789112,101.68291007754598,132.18778310080978,0.13016074386542836,0.0,0.25605093386642114,0.0318096736828232,0.17754348656112132,1.0592621336380126,2.902088037364418,0.48642051112635976,0.0,0.0,0.0,0.0,0.0
2025,5,19TH STREET,1,MO,374778,-94.60412,39.08719,CEN,45.06219364207612,66.5577414239547,86.52506385114111,0.0851982415446017,0.0,0.16760114196816936,0.02082139500282897,0.11621317152538832,0.6933524535942047,1.8995957632717937,0.31839225075448857,0.0,0.0,0.0,0.0,0.0
2025,9,23rd STREET,1,MO,394733,-90.235142,38.629342,CEN,44.8950105428276,66.31080871627026,86.20405133115133,0.08488215160488223,0.0,0.16697933295073913,0.020744146536522606,0.11578201457054861,0.6907800796662028,1.8925481634690489,0.31721099882342085,0.0,0.0,0.0,0.0,0.0
2025,52,AVONDALE,1,MO,375008,-94.579062,39.122459,CEN,83.12721368355605,122.78052057540812,159.61467674803055,0.15716705863445465,0.0,0.3091774903960076,0.03840968252317302,0.21438097796496053,1.2790424280216617,3.5042258301963334,0.5873451451094809,0.0,0.0,0.0,0.0,0.0
2025,127,CAPE GIRARDEAU,1,MO,401493,-89.535861,37.273021,CEN,68.83541986190313,101.67126155394202,132.17264002012462,0.1301458329969641,0.0,0.25602160135277957,0.03180602965125048,0.1775231476517376,1.059140787386641,2.901755581881208,0.48636478808695227,0.0,0.0,0.0,0.0,0.0
2025,131,CARRIE AVE,1,MO,394816,-90.225745,38.700193,CEN,46.27363389307535,68.3470623704008,88.85118108152105,0.08748868883044161,0.0,0.17210688731883717,0.021381151950942312,0.11933741609280496,0.7119923599663791,1.950663999907888,0.3269518249117944,0.0,0.0,0.0,0.0,0.0
2025,133,CARTHAGE,2,MO,375992,-94.454417,37.147404,CEN,45.13988112555814,66.67248735662155,86.67423356360801,0.08534512380770826,0.0,0.16789008731005928,0.0208572912087084,0.11641352370786266,0.6945477972499898,1.9028706773972324,0.31894116084345936,0.0,0.0,0.0,0.0,0.0
2025,249,"Dupo, IL - St. Louis",3,MO,393607,-90.379976,38.287183,CEN,143.46544343569312,211.90126613254526,275.47164597230886,0.27124741418989723,0.0,0.5335952426945403,0.06628950846816692,0.3699902920480628,2.207440631989959,6.047782553397148,1.0136720330083913,0.0,0.0,0.0,0.0,0.0
2025,330,GLEN PARK,1,MO,374723,-94.60726,39.07441,CEN,68.07405764219799,100.54671466322458,130.71072906219194,0.12870633977538234,0.0,0.253189844459461,0.03145423533687184,0.17555963209511966,1.0474260367178323,2.869660374569404,0.48098529341128676,0.0,0.0,0.0,0.0,0.0
2025,386,JEFFERSON CITY,1,MO,386017,-92.225005,38.595213,CEN,48.03409900543207,70.94730377597507,92.2314949087676,0.09081716709017201,0.0,0.17865463698166323,0.02219459081244622,0.12387756865820829,0.7390798740544593,2.0248763672724914,0.3393905990635844,0.0,0.0,0.0,0.0,0.0
2025,390,"Kansas City, MO",3,MO,375792,-94.486015,39.175246,CEN,43.83342112826833,64.74282038632201,84.16566650221861,0.0828750244756259,0.0,0.16303093222274348,0.020253629525590372,0.11304422790832723,0.6744458632021595,1.8477968854853684,0.30971021344747185,0.0,0.0,0.0,0.0,0.0
2025,391,"Kansas City, MO - International Freight Gateway (IFG)",3,MO,375289,-94.53911,38.895322,CEN,8.94841148925228,13.216978800177172,17.182072440230325,0.016918593212691183,0.0,0.03328209000015011,0.004134694634386437,0.023077511217945205,0.13768533132506838,0.37722008582210514,0.06322605813135672,0.0,0.0,0.0,0.0,0.0
2025,392,KCS EAST,2,MO,375681,-94.501109,39.12531,CEN,110.98697926447832,163.9299392742708,213.10892105655205,0.2098409931568762,0.0,0.41279713580022426,0.0512825397225829,0.28622993724619944,1.7077085727620107,4.678653624005509,0.7841916088936971,0.0,0.0,0.0,0.0,0.0
2025,399,KEOKUK,1,MO,388938,-91.435022,40.384957,CEN,53.70675014595368,79.3259204673427,103.12369660754551,0.10154234185434832,0.0,0.19975309518567572,0.024815690687170537,0.13850705574517458,0.826362499882779,2.264006848993915,0.37947138560321797,0.0,0.0,0.0,0.0,0.0
2025,405,KNOCHE,1,MO,375124,-94.563153,39.117817,CEN,110.68678205508576,163.4865421241532,212.53250476139917,0.2092734159421495,0.0,0.4116806034913561,0.05114383088108359,0.28545574347162017,1.7030895683400835,4.665998817370092,0.7820705300592333,0.0,0.0,0.0,0.0,0.0
2025,416,LINDENWOOD,1,MO,394071,-90.316912,38.599671,CEN,24.87039070482405,36.73405353481902,47.754269595264724,0.047021979697848396,0.0,0.09250117551825005,0.011491589443091511,0.064139509137975,0.38266992845494735,1.0484107628902668,0.1757246825697945,0.0,0.0,0.0,0.0,0.0
2025,443,LUTHER,6,MO,394816,-90.225745,38.688806,CEN,54.849752279849405,81.01415697618025,105.31840406903433,0.10370339448004016,0.0,0.20400429663482364,0.025343825182973193,0.14145480178912834,0.8439493785930074,2.3121900783370064,0.38754740216199546,0.0,0.0,0.0,0.0,0.0
